ht_ppg,ht_rpg,ht_apg,ht_spg,ht_bpg,ht_topg,ho_ppg,ho_rpg,ho_apg,ho_spg,ho_bpg,ho_topg,h_ortg,h_drtg,h_efg,h_tov,h_oreb,h_ftf,at_ppg,at_rpg,at_apg,at_spg,at_bpg,at_topg,ao_ppg,ao_rpg,ao_apg,ao_spg,ao_bpg,ao_topg,a_ortg,a_drtg,a_efg,a_tov,a_reb,a_ftf,act_spread
102.671,40.4079,25.7632,9,4.6447,13.5526,97.2763,43.5395,23.6579,7.3421,4.8553,15.3421,111.843,105.872,0.587121,0.115852,0.218579,0.217172,103.338,43.4026,20.2727,8.6494,4.7273,14.6753,103.364,45.1039,21.013,8.026,3.974,15.1299,108.405,108.053,0.491607,0.137611,0.215859,0.170264,-7
102.731,40.5769,25.8205,9.0256,4.6282,13.5385,97.0897,43.5,23.6026,7.3077,4.859,15.2949,111.864,105.648,0.560386,0.117633,0.260417,0.193237,94.7051,44.2949,20.2436,5.9872,5.5769,11.1154,97.0385,44.0641,21.859,6.0128,5.3718,12.0385,102.84,105.255,0.457245,0.112218,0.258929,0.192399,-10
102.7,40.5875,25.8625,9.05,4.5875,13.5,97.0125,43.625,23.55,7.325,4.85,15.3125,111.783,105.531,0.559666,0.132849,0.257426,0.193317,91.6625,40.3875,21.175,7.025,4.65,13.65,100.988,43.575,21.7,7.9375,4.3375,13.4875,101.973,112.222,0.461728,0.145294,0.25,0.207407,-15
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.491994,0.124009,0.25215,0.19059,98.0244,42.3537,20.9268,7.0244,4.1463,13.3902,100.902,44.3415,23.7073,7.8415,4.5366,13.0488,106.587,110.283,0.500146,0.121598,0.243579,0.195992,0
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.491994,0.124009,0.25215,0.19059,103.988,41.5488,20.7439,7.5,4.3537,12.1951,100.915,42.4512,22.8049,6.9146,5.0366,13.7561,113.379,109.959,0.511771,0.12627,0.269072,0.228013,-2
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.491994,0.124009,0.25215,0.19059,91.8,48.8,20.4,4.4,7.8,17.6,94.6,40.2,21.4,10,5,11.2,100.853,103.772,0.483461,0.145404,0.235849,0.231552,-6
106.333,44.3333,25,7.8333,4.6667,15,106,38,21,6.3333,6,13.6667,112.102,112.235,0.541162,0.149458,0.276923,0.20339,90.25,43.25,18.75,5.375,3.875,16.25,96.875,40.375,21.125,7.625,5.125,11.25,100.363,109.082,0.501241,0.125444,0.266667,0.215881,-8
104.571,43,25.4286,7.4286,4.4286,14,106.429,38.4286,21.2857,5.5714,5.5714,12.8571,111.712,113.796,0.540476,0.136343,0.261538,0.159524,102.333,40.5,19.1667,5.6667,3.5,11.8333,103,41.3333,25.8333,6,6.1667,12.5,111.659,116.731,0.546569,0.123086,0.267677,0.205882,6
106.625,42.5,26.25,7.375,4,14,108.375,38.625,21.375,5.5,5.5,12.625,112.948,114.866,0.532864,0.129602,0.258706,0.164319,104,42.4,19.4,7,4.6,13.7,105,44.7,19.4,7.3,5.1,15.3,108.616,109.713,0.519417,0.150172,0.211268,0.286408,2
106.182,42.3636,26.5455,7.9091,4.2727,14.2727,108.364,40.2727,23.0909,6.2727,4.7273,13.4545,111.131,112.912,0.526437,0.125711,0.21256,0.17931,104.417,46.75,24,5.9167,5.4167,14,95.1667,43.0833,16.6667,7.6667,3.75,11.8333,113.873,103.872,0.50601,0.134627,0.266968,0.235577,5
104.667,42.6667,25.75,8.25,4,13.75,107.167,41.5,22.8333,6.3333,4.5833,13.6667,109.844,111.792,0.50783,0.123118,0.21875,0.170022,100.533,41.9333,22,6.5333,5.5333,13.8,99,43.9333,21.8,7,4.8667,12.7333,109.873,108.01,0.52716,0.132306,0.231527,0.195062,4
104.462,42.6154,25.3077,8.1538,3.8462,13.6923,107.308,42.3077,22.4615,6.2308,5.2308,13.6154,109.079,111.817,0.478936,0.120124,0.230435,0.175166,98.6667,43.5333,23.8667,7.6667,5.6,14,92.7333,40.0667,20.4,7.5333,4.8667,13,108.74,101.218,0.529412,0.121141,0.1875,0.164216,8
103.467,42.5333,25.5333,8.0667,3.8667,14.2667,107.667,41.7333,23.5333,6.5333,5.4,13.8,108.127,112.339,0.489933,0.120009,0.217778,0.149888,92.1667,44.2222,19,6.1111,4.3889,13.2778,98.7778,44.8889,22.7778,7.5,4.8889,12.6667,101.235,109.89,0.452546,0.129618,0.312757,0.189815,-5
103.812,42.9375,25.6875,8.0625,4,14.125,107.312,42.5625,23.3125,6.5625,5.5,13.625,107.866,111.277,0.46882,0.115174,0.205128,0.169265,103.684,42.2632,20.2105,7.5263,4.3684,12.3158,111.105,44.0526,25.7895,6.4211,3.8947,13.3684,110.19,117.798,0.501114,0.10597,0.275862,0.218263,-3
104.353,43.5882,25.8824,7.9412,3.8824,14.2353,106.647,42.2941,22.7647,6.2941,5.4118,13.5294,108.083,110.271,0.497748,0.127868,0.211009,0.18018,100.056,43.4444,25.7222,8.1111,4.9444,14,95.5556,40.8333,17.0556,7.6667,4.1111,15.1667,109.444,103.235,0.5475,0.118723,0.27957,0.2375,4
104.7,44.05,25.65,8.25,3.9,14.4,106.75,43.2,22.9,6.35,5.3,14.1,107.258,109.092,0.495546,0.129755,0.202703,0.238307,93.75,39,21.0417,6.4583,3.625,14.0417,99.6667,41.75,20.8333,7.8333,3.2917,13.3333,106.602,113.324,0.520833,0.119523,0.274194,0.188725,-7
104.273,44.2727,25.7727,8.3182,3.9091,14.8636,105.591,43.2727,22.8636,6.8636,5.4545,14.4091,106.727,108.134,0.460586,0.14813,0.242291,0.231982,93.8889,41.4815,19.2222,6.3704,3.8519,14.8519,99.037,42.5556,22.8889,7.3704,5.7037,12.1852,103.73,109.035,0.493719,0.114228,0.20197,0.18593,-4
104.478,44.1739,25.7391,8.3478,4.087,14.8261,105,42.9565,22.6087,6.913,5.2609,14.3043,107.252,107.904,0.486239,0.149617,0.246512,0.220183,98.3333,41.1667,21.6667,9.2083,4.0417,14.4583,108.542,43.5,23.5417,7.625,5.9167,15.9583,103.217,114.736,0.447991,0.13675,0.310044,0.217494,-7
103.692,44.0769,25.5769,8.3462,4.1538,14.6538,104.346,42.6154,22.4615,7.0385,5.1154,14,107.295,107.825,0.5179,0.13274,0.244898,0.181384,96.4444,41.963,21.0741,7.1481,4.2963,14.1852,98.4444,44.5926,21.963,7.5556,4.6296,14,105.183,108.173,0.512469,0.12665,0.225352,0.229426,-2
103.25,43.5357,25.5,8.3929,4.0357,14.75,104.393,42.8214,22.5357,7.25,5,14.1786,106.873,107.907,0.547281,0.127144,0.213115,0.13948,102.516,44.6452,20.0323,6.129,3.871,15.7097,104,38.9032,22.5161,8.0968,6.129,11.6129,109.686,111.239,0.538194,0.113347,0.293839,0.275463,2
103.345,43.7241,25.7241,8.4138,4.1379,14.6207,103.69,42.931,22.1724,7.3103,5,14.2414,106.899,107.05,0.523148,0.121632,0.186529,0.143519,109.606,41.8485,23.2727,8.0909,5.0909,11.9697,102.667,44.697,22.1818,6.697,3.4545,16,117.248,109.623,0.523864,0.105826,0.186147,0.211364,6
103.29,43.5806,25.6129,8.3548,4.129,14.7097,104.355,43.7419,22.129,7.4194,5,14.1935,106.372,107.521,0.494565,0.123953,0.254545,0.15,95.1143,42.6857,20.1429,5.6571,4.8286,11,99.8,43.0286,22.6286,5.9429,4.9714,12.1429,103.294,108.542,0.440639,0.113512,0.235043,0.184932,-6
102.429,43.3714,25.3143,8.3429,4.2,14.1714,103.886,44.5143,22,7.0857,5.4286,14.3143,105.758,107.57,0.439732,0.117549,0.306452,0.238839,101.306,43.5,21.3611,7.4444,5.9722,12,100.778,42.2778,20.7222,6.8056,5.8056,12.8333,111.053,110.625,0.5,0.132056,0.245283,0.198547,6
102.583,43.3889,25.2778,8.3333,4.2222,14.0833,103.778,44.5278,21.9444,7.0833,5.4444,14.4167,106.072,107.676,0.454128,0.113,0.293617,0.238532,103,41.4211,25.6579,8.8947,4.6053,13.5263,96.8947,42.9211,23.8158,7.2895,4.9211,15.3158,111.817,104.676,0.503685,0.133429,0.233184,0.230958,6
102.27,43.2973,25.1892,8.2432,4.1622,14.1351,103.811,44.2703,21.973,7.2432,5.4865,14.3514,105.992,107.987,0.462617,0.131399,0.311688,0.233645,101.975,45.675,21.675,6.15,6.7,13.675,99.25,42.675,21.175,7.65,5.35,11.9,110.645,106.894,0.471496,0.122268,0.302632,0.213777,5
101.773,43.2273,24.7955,8.0455,4.1136,14.0909,103.727,44.1364,22.0227,7.4091,5.5455,13.8409,106.109,108.691,0.478873,0.111268,0.247748,0.220657,102.913,43.3478,21.2174,9.913,4.5217,16.6304,98.913,42.1957,21.2174,8.9783,5.6087,16.1522,108.539,104.628,0.521028,0.149307,0.264317,0.203271,7
101.444,43.3333,24.5556,8.0444,4.1333,14.0222,103.489,44.2667,22.0222,7.3778,5.5111,13.8889,105.832,108.505,0.473068,0.112339,0.25,0.224824,92.6522,37.6522,19.8913,8.0217,4.087,13.4565,96.3696,40.3696,20.5435,7.5,4.3478,13.8261,106.916,109.722,0.435802,0.129845,0.264317,0.177778,-4
101.021,43.1702,24.5106,7.9787,4.0213,14.0213,102.915,44.1064,21.9362,7.3617,5.5106,13.9149,105.721,108.312,0.466102,0.119157,0.233645,0.179177,100.571,45.2653,21.6531,6.9592,4.6531,13.9796,103.98,44.5714,22.3673,7.1224,5.9592,12.7143,105.553,110.073,0.455097,0.117889,0.240175,0.247573,-4
101.083,43.3333,24.5625,8.0208,4,14,102.854,44.1875,21.8542,7.3958,5.5208,13.9375,105.765,108.327,0.462791,0.113925,0.262222,0.174419,89.84,41.88,20.28,9.94,6.12,17.7,101.02,46,24.44,10.26,5.52,16.54,96.2047,107.654,0.52381,0.16168,0.247312,0.23545,-9
101.04,43.54,24.52,8,3.94,13.86,102.58,44.1,21.84,7.34,5.48,13.96,105.896,108.253,0.489387,0.116279,0.254545,0.150943,103.717,40.7925,25.7736,8.8679,4.566,13.1509,96.9623,43.3774,23.6226,7.0755,4.7736,14.9623,113.142,105.262,0.510514,0.121333,0.316742,0.247664,7
