Team,Game,Date,Opponent,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
CLE,42,1/19/2015,CHI,108,94,41,90,0.456,8,18,0.444,18,25,0.72,20,54,20,5,4,12,19,30,80,0.375,8,16,0.5,26,32,0.813,11,40,12,5,9,8,16
CLE,43,1/21/2015,UTA,106,92,42,81,0.519,5,24,0.208,17,25,0.68,15,45,24,15,4,13,12,35,84,0.417,8,22,0.364,14,18,0.778,16,42,24,9,1,17,22
CLE,44,1/23/2015,CHO,129,90,46,89,0.517,15,28,0.536,22,28,0.786,11,56,29,7,5,11,19,36,89,0.404,2,16,0.125,16,24,0.667,12,42,27,6,5,11,22
CLE,45,1/25/2015,OKC,108,98,36,82,0.439,16,36,0.444,20,29,0.69,11,48,17,5,8,11,14,37,94,0.394,10,30,0.333,14,18,0.778,10,42,26,6,6,8,23
CLE,47,1/28/2015,POR,99,94,34,85,0.4,15,37,0.405,16,18,0.889,14,46,16,3,1,8,15,35,80,0.438,10,31,0.323,14,17,0.824,11,39,18,5,5,8,20
CLE,48,1/30/2015,SAC,101,90,38,80,0.475,11,31,0.355,14,22,0.636,7,44,22,11,5,17,24,30,84,0.357,3,18,0.167,27,32,0.844,14,50,15,10,3,16,19
CLE,50,2/2/2015,PHI,97,84,35,78,0.449,12,27,0.444,15,22,0.682,11,43,22,8,6,18,17,31,78,0.397,12,33,0.364,10,14,0.714,11,37,23,16,7,21,22
CLE,51,2/5/2015,LAC,105,94,31,72,0.431,8,30,0.267,35,44,0.795,14,52,23,10,4,18,21,38,91,0.418,5,22,0.227,13,20,0.65,14,43,24,9,1,12,29
CLE,53,2/8/2015,LAL,120,105,45,82,0.549,18,33,0.545,12,20,0.6,6,46,31,6,7,14,15,41,100,0.41,7,23,0.304,16,19,0.842,19,46,22,11,5,7,18
CLE,54,2/11/2015,MIA,113,93,44,78,0.564,10,25,0.4,15,19,0.789,10,43,32,9,3,15,19,34,84,0.405,9,24,0.375,16,20,0.8,12,36,21,10,4,14,19
CLE,59,2/26/2015,GSW,110,99,36,77,0.468,9,28,0.321,29,35,0.829,8,51,15,10,2,16,19,39,92,0.424,11,29,0.379,10,19,0.526,14,44,32,10,6,14,24
CLE,62,3/3/2015,BOS,110,79,43,89,0.483,10,28,0.357,14,14,1,12,52,28,10,6,11,18,31,88,0.352,7,28,0.25,10,13,0.769,11,42,23,4,3,14,21
CLE,65,3/7/2015,PHO,89,79,31,75,0.413,8,20,0.4,19,23,0.826,12,46,22,5,1,14,14,30,84,0.357,9,25,0.36,10,14,0.714,13,43,20,6,4,10,20
CLE,70,3/18/2015,BRK,117,92,45,82,0.549,15,29,0.517,12,20,0.6,11,43,32,2,3,11,17,36,80,0.45,5,20,0.25,15,21,0.714,8,32,23,7,5,11,19
CLE,71,3/20/2015,IND,95,92,35,82,0.427,9,26,0.346,16,21,0.762,11,45,18,4,6,9,16,36,84,0.429,8,20,0.4,12,13,0.923,9,42,23,5,6,8,20
CLE,75,3/29/2015,PHI,87,86,33,85,0.388,9,23,0.391,12,18,0.667,18,53,17,7,2,17,12,34,84,0.405,10,30,0.333,8,15,0.533,11,45,18,11,0,13,21
CLE,76,4/2/2015,MIA,114,88,40,80,0.5,15,35,0.429,19,25,0.76,10,43,23,12,7,14,21,32,75,0.427,7,21,0.333,17,21,0.81,8,36,25,8,2,16,23
CLE,77,4/5/2015,CHI,99,94,35,83,0.422,16,37,0.432,13,22,0.591,10,40,24,9,4,10,17,34,76,0.447,11,27,0.407,15,21,0.714,9,45,28,7,2,16,22
CLE,79,4/10/2015,BOS,90,99,32,77,0.416,9,34,0.265,17,25,0.68,12,42,25,4,2,20,21,38,84,0.452,8,22,0.364,15,21,0.714,11,43,30,11,2,14,24
CLE,81,4/13/2015,DET,109,97,43,85,0.506,17,32,0.531,6,12,0.5,13,45,30,5,7,10,19,38,83,0.458,9,25,0.36,12,20,0.6,8,31,21,4,4,7,8
CLE,82,4/15/2015,WAS,113,108,43,91,0.473,16,30,0.533,11,17,0.647,11,44,29,7,4,16,17,42,97,0.433,8,22,0.364,16,21,0.762,15,50,26,8,5,13,13
DAL,2,10/30/2014,UTA,120,102,47,85,0.553,8,21,0.381,18,23,0.783,13,44,25,8,5,9,15,36,83,0.434,14,35,0.4,16,18,0.889,15,40,22,6,0,16,21
DAL,4,11/3/2014,BOS,118,113,44,82,0.537,14,25,0.56,16,20,0.8,7,36,24,5,9,17,17,45,102,0.441,11,31,0.355,12,16,0.75,22,49,29,9,6,17,21
DAL,7,11/9/2014,MIA,96,105,35,83,0.422,9,29,0.31,17,24,0.708,15,41,22,8,7,13,15,42,76,0.553,9,23,0.391,12,20,0.6,6,38,31,7,3,13,23
DAL,8,11/11/2014,SAC,106,98,38,80,0.475,10,27,0.37,20,24,0.833,9,33,23,8,8,11,29,32,72,0.444,9,19,0.474,25,32,0.781,12,43,17,5,1,20,32
DAL,9,11/13/2014,PHI,123,70,41,80,0.513,11,32,0.344,30,36,0.833,9,51,33,14,5,15,25,23,77,0.299,7,27,0.259,17,33,0.515,18,46,9,7,4,27,24
DAL,10,11/15/2014,MIN,131,117,52,94,0.553,8,26,0.308,19,23,0.826,12,40,31,5,10,7,24,43,86,0.5,7,17,0.412,24,29,0.828,12,41,24,2,2,17,30
DAL,13,11/21/2014,LAL,140,106,51,82,0.622,18,35,0.514,20,28,0.714,11,39,37,4,2,9,16,44,85,0.518,5,13,0.385,13,21,0.619,13,33,24,3,4,10,24
DAL,15,11/24/2014,IND,100,111,40,80,0.5,8,24,0.333,12,21,0.571,6,37,21,6,6,12,28,37,77,0.481,13,26,0.5,24,36,0.667,8,44,20,6,4,12,21
DAL,16,11/26/2014,NYK,109,102,38,95,0.4,4,31,0.129,29,38,0.763,20,56,20,12,5,11,16,39,92,0.424,14,28,0.5,10,16,0.625,15,53,21,7,3,21,32
DAL,21,12/5/2014,PHO,106,118,40,88,0.455,4,19,0.211,22,30,0.733,16,44,13,5,1,11,16,45,80,0.563,13,26,0.5,15,17,0.882,7,41,27,5,3,13,25
DAL,22,12/7/2014,MIL,125,102,49,84,0.583,12,31,0.387,15,19,0.789,8,36,29,14,8,11,14,42,84,0.5,4,15,0.267,14,17,0.824,11,36,17,7,4,17,18
DAL,24,12/10/2014,NOP,112,107,44,83,0.53,9,21,0.429,15,17,0.882,5,29,17,5,5,8,18,40,88,0.455,7,18,0.389,20,24,0.833,16,45,16,5,3,11,20
DAL,25,12/13/2014,GSW,98,105,36,89,0.404,5,25,0.2,21,30,0.7,17,53,14,11,0,15,23,37,83,0.446,10,32,0.313,21,27,0.778,9,45,21,7,7,13,24
DAL,28,12/20/2014,SAS,99,93,37,86,0.43,9,26,0.346,16,20,0.8,13,40,18,10,3,12,24,32,77,0.416,3,13,0.231,26,26,1,12,48,10,6,2,19,20
DAL,29,12/22/2014,ATL,102,105,39,90,0.433,11,28,0.393,13,20,0.65,13,47,23,12,5,15,23,40,81,0.494,7,19,0.368,18,27,0.667,6,43,26,6,6,17,21
DAL,31,12/26/2014,LAL,102,98,42,83,0.506,5,18,0.278,13,24,0.542,6,40,20,9,6,13,21,36,99,0.364,11,29,0.379,15,20,0.75,24,63,20,8,6,16,23
DAL,32,12/28/2014,OKC,112,107,39,88,0.443,10,31,0.323,24,28,0.857,7,37,26,8,6,12,16,45,90,0.5,5,14,0.357,12,21,0.571,14,53,21,8,2,18,25
DAL,33,12/30/2014,WAS,114,87,43,82,0.524,8,15,0.533,20,29,0.69,3,34,21,11,5,7,22,33,74,0.446,4,12,0.333,17,27,0.63,10,48,22,5,3,22,26
DAL,37,1/7/2015,DET,95,108,38,87,0.437,6,22,0.273,13,18,0.722,9,43,24,9,4,14,15,43,97,0.443,10,21,0.476,12,14,0.857,18,60,22,9,2,15,17
DAL,41,1/16/2015,DEN,97,89,33,79,0.418,8,25,0.32,23,29,0.793,10,52,22,7,2,14,23,34,83,0.41,9,25,0.36,12,25,0.48,13,52,23,6,3,15,27
DAL,44,1/23/2015,CHI,98,102,37,82,0.451,6,18,0.333,18,18,1,9,30,16,12,8,12,16,38,78,0.487,9,16,0.563,17,20,0.85,15,47,22,8,5,21,18
DAL,46,1/27/2015,MEM,90,109,38,78,0.487,7,26,0.269,7,10,0.7,8,35,20,8,3,16,20,42,79,0.532,10,21,0.476,15,20,0.75,9,40,23,6,0,13,17
DAL,50,2/2/2015,MIN,100,94,39,84,0.464,10,31,0.323,12,18,0.667,12,43,27,11,10,15,18,34,82,0.415,3,13,0.231,23,26,0.885,16,47,18,10,2,15,22
DAL,53,2/7/2015,POR,111,101,43,105,0.41,14,36,0.389,11,16,0.688,20,55,21,11,7,15,20,37,89,0.416,10,32,0.313,17,24,0.708,17,58,24,11,4,22,21
DAL,54,2/9/2015,LAC,98,115,33,81,0.407,10,34,0.294,22,30,0.733,14,47,19,2,3,12,26,41,92,0.446,9,27,0.333,24,29,0.828,17,53,21,8,3,6,25
DAL,55,2/11/2015,UTA,87,82,28,75,0.373,10,28,0.357,21,26,0.808,7,38,18,11,3,11,21,30,80,0.375,11,29,0.379,11,21,0.524,14,52,19,9,7,18,21
DAL,57,2/20/2015,HOU,111,100,44,93,0.473,9,24,0.375,14,18,0.778,12,50,26,10,2,17,19,36,87,0.414,12,37,0.324,16,26,0.615,14,47,20,8,9,21,22
DAL,58,2/22/2015,CHO,92,81,36,78,0.462,5,18,0.278,15,19,0.789,6,49,20,7,6,15,16,33,90,0.367,6,19,0.316,9,13,0.692,13,47,20,10,2,14,20
DAL,59,2/24/2015,TOR,99,92,38,79,0.481,8,19,0.421,15,18,0.833,8,40,17,13,4,19,13,38,84,0.452,9,26,0.346,7,11,0.636,7,37,17,10,4,18,20
DAL,61,2/28/2015,BRK,94,104,35,82,0.427,9,28,0.321,15,18,0.833,8,37,23,10,3,12,19,40,77,0.519,10,23,0.435,14,23,0.609,12,48,20,5,4,14,21
