ht_ppg,ht_rpg,ht_apg,ht_spg,ht_bpg,ht_topg,ho_ppg,ho_rpg,ho_apg,ho_spg,ho_bpg,ho_topg,h_ortg,h_drtg,h_efg,h_tov,h_oreb,h_ftf,at_ppg,at_rpg,at_apg,at_spg,at_bpg,at_topg,ao_ppg,ao_rpg,ao_apg,ao_spg,ao_bpg,ao_topg,a_ortg,a_drtg,a_efg,a_tov,a_reb,a_ftf,act_spread,vegas_ou
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.445476,0.149098,0.316239,0.185615,95.6951,41.8171,20.6341,7.8902,3.8293,14.3293,101.415,43.4634,23.4268,7.7439,5.378,13.9024,104.345,110.191,0.493622,0.149448,0.257282,0.219388,-11,-7
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.469287,0.18024,0.280374,0.181818,103.927,43.6829,22.1951,9.4756,4.9634,15.939,100.488,43.8293,21.3659,8.8537,5.3293,15.5122,109.33,105.549,0.496462,0.140895,0.264069,0.252358,-9,-8
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.496296,0.170183,0.257426,0.192593,103.134,42.9634,22.122,7.3537,4.1463,13.6341,98.6585,41.122,24.0732,7.8293,4.4878,12.7073,112.985,109.106,0.533835,0.119848,0.219388,0.260652,2,-9
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.489461,0.152805,0.284404,0.163934,101.341,44.1829,20.3293,6.7073,3.9512,15.6098,105.049,41.1829,23.3171,8.6829,6.1951,12.5244,107.424,111.353,0.529904,0.125196,0.188482,0.208134,-11,-25
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.525485,0.162385,0.29064,0.194175,103.183,43.6341,24.3902,8.0122,5.4146,13.4634,96.9878,42.1463,20.7195,7.9024,4.4146,13.5244,111.229,104.485,0.552009,0.11731,0.238806,0.210402,-2,19
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.539312,0.158843,0.228426,0.194103,94.6829,39.122,19.8293,7.8293,4.5366,13.8902,97.2805,40.9878,21.3171,7.878,4.378,14.0732,106.757,109.03,0.501208,0.143925,0.328571,0.166667,-8,-13
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.545685,0.13961,0.2,0.215736,97.8415,42.0732,23.561,9.622,4.9146,15.9634,97.4146,42.8537,22.3293,8.6341,4.7805,16.5976,105.549,104.259,0.487028,0.155965,0.278761,0.238208,-9,-13
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.531888,0.125478,0.223958,0.219388,98.0244,42.3537,20.9268,7.0244,4.1463,13.3902,100.902,44.3415,23.7073,7.8415,4.5366,13.0488,106.587,110.283,0.535545,0.0981449,0.239024,0.199052,-11,-32
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.587121,0.115852,0.218579,0.217172,102.402,43.1585,20.2317,8.5366,4.6951,14.5366,103.305,45.3293,21.1463,7.939,4.1098,14.9512,107.833,108.4,0.491607,0.137611,0.215859,0.170264,-7,-27
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.560386,0.117633,0.260417,0.193237,94.1585,44.061,20.1707,6.0854,5.4634,11.1707,97.3293,44.122,22.1341,6.122,5.3659,12.0366,102.462,105.796,0.457245,0.112218,0.258929,0.192399,-10,-24
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.559666,0.132849,0.257426,0.193317,91.8902,40.3659,21.2927,7.0122,4.6585,13.7683,101.207,43.5,21.7439,8.0366,4.3049,13.4024,102.187,112.459,0.461728,0.145294,0.25,0.207407,-15,4
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.491994,0.124009,0.25215,0.19059,98.0244,42.3537,20.9268,7.0244,4.1463,13.3902,100.902,44.3415,23.7073,7.8415,4.5366,13.0488,106.587,110.283,0.500146,0.121598,0.243579,0.195992,0,-16
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.491994,0.124009,0.25215,0.19059,103.988,41.5488,20.7439,7.5,4.3537,12.1951,100.915,42.4512,22.8049,6.9146,5.0366,13.7561,113.379,109.959,0.511771,0.12627,0.269072,0.228013,-2,3
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.491994,0.124009,0.25215,0.19059,97.3293,44.8537,21.4268,6.1585,4.5732,13.3293,97.0488,42.7317,19.9146,7.5244,4.7073,12.1463,105.764,105.756,0.483461,0.145404,0.235849,0.231552,-6,-3
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.541162,0.149458,0.276923,0.20339,103.951,47.5122,20.5,7.2927,5.5366,14.0244,101.768,42.7317,22.1341,7.8293,4.5976,12.9146,109.541,108.223,0.501241,0.125444,0.266667,0.215881,-8,15
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.540476,0.136343,0.261538,0.159524,103.134,42.9634,22.122,7.3537,4.1463,13.6341,98.6585,41.122,24.0732,7.8293,4.4878,12.7073,112.985,109.106,0.546569,0.123086,0.267677,0.205882,6,1
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.532864,0.129602,0.258706,0.164319,102.402,43.1585,20.2317,8.5366,4.6951,14.5366,103.305,45.3293,21.1463,7.939,4.1098,14.9512,107.833,108.4,0.519417,0.150172,0.211268,0.286408,2,4
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.526437,0.125711,0.21256,0.17931,102.793,45.8537,21.939,6.4024,4.5366,13.2561,98.561,44.5854,20.3537,7.9878,3.622,11.622,110.357,106.194,0.50601,0.134627,0.266968,0.235577,5,6
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.50783,0.123118,0.21875,0.170022,100.793,45.7439,21.7195,6.2683,5.8049,13.1707,97.7927,43.4268,20.2073,7.4878,5.4024,11.6707,109.989,106.259,0.52716,0.132306,0.231527,0.195062,4,7
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.478936,0.120124,0.230435,0.175166,103.183,43.6341,24.3902,8.0122,5.4146,13.4634,96.9878,42.1463,20.7195,7.9024,4.4146,13.5244,111.229,104.485,0.529412,0.121141,0.1875,0.164216,8,22
